"age";"name";"man";"woman"
"16 лет";Республика Коми;0;0
"16 лет";Республика Крым;66;57
"16 лет";Республика Марий Эл;2;1
"16 лет";Республика Мордовия;0;0
"16 лет";Республика Саха (Якутия);2;7
"16 лет";Республика Северная Осетия - Алания;5;6
"16 лет";Республика Татарстан;5;3
"16 лет";Республика Тыва;0;0
"16 лет";Республика Хакасия;0;0
"16 лет";Ростовская область;5;9
"16 лет";Рязанская область;1;1
"16 лет";Самарская область;3;2
"16 лет";Саратовская область;21;11
"16 лет";Сахалинская область;0;0
"16 лет";Свердловская область;1;4
"16 лет";Смоленская область;0;1
"16 лет";Ставропольский край;16;22
"16 лет";Тамбовская область;1;0
"16 лет";Тверская область;0;0
"16 лет";Томская область;3;3
"16 лет";Тульская область;1;0
"16 лет";Тюменская область;1;3
"16 лет";Удмуртская Республика;1;1
"16 лет";Ульяновская область;1;2
"16 лет";Хабаровский край;2;1
"16 лет";Ханты-Мансийский автономный округ;0;0
"16 лет";Челябинская область;4;3
"16 лет";Чеченская Республика;10;23
"16 лет";Чувашская Республика;0;0
"16 лет";Чукотский автономный округ;0;0
"16 лет";Ямало-Ненецкий автономный округ;0;0
"16 лет";Ярославская область;3;1
"17 лет";Алтайский край;259;428
"17 лет";Амурская область;78;123
"17 лет";Архангельская область;37;71
"17 лет";Астраханская область;338;476
"17 лет";Белгородская область;272;391
"17 лет";Брянская область;237;199
"17 лет";Владимирская область;126;170
"17 лет";Волгоградская область;450;589
"17 лет";Вологодская область;60;52
"17 лет";Воронежская область;534;851
"17 лет";г. Москва;11023;11666
"17 лет";г.Санкт-Петербург;3712;4743
"17 лет";г.Севастополь;432;508
"17 лет";Еврейская автономная область;4;9
"17 лет";Забайкальский край;176;233
"17 лет";Ивановская область;215;121
"17 лет";Иркутская область;442;494
"17 лет";Кабардино-Балкарская Республика;279;525
"17 лет";Калининградская область;201;350
"17 лет";Калужская область;134;174
"17 лет";Камчатский край;29;37
"17 лет";Карачаево-Черкесская Республика;177;142
"17 лет";Кемеровская область;120;191
"17 лет";Кировская область;74;100
"17 лет";Костромская область;69;63
"17 лет";Краснодарский край;921;1179
"17 лет";Красноярский край;492;394
"17 лет";Курганская область;28;47
"17 лет";Курская область;154;223
"17 лет";Ленинградская область;23;110
"17 лет";Липецкая область;84;146
"17 лет";Магаданская область;6;3
"17 лет";Московская область;768;812
"17 лет";Мурманская область;15;16
"17 лет";Нижегородская область;727;958
"17 лет";Новгородская область;403;550
"17 лет";Новосибирская область;1008;1095
"17 лет";Омская область;605;666
"17 лет";Оренбургская область;137;212
"17 лет";Орловская область;108;192
"17 лет";Пензенская область;477;510
"17 лет";Пермский край;222;327
"17 лет";Приморский край;232;303
"17 лет";Псковская область;110;142
"17 лет";Республика Адыгея;122;124
"17 лет";Республика Алтай;13;36
"17 лет";Республика Башкортостан;520;710
"17 лет";Республика Бурятия;129;135
"17 лет";Республика Дагестан;1010;1140
"17 лет";Республика Ингушетия;229;21
"17 лет";Республика Калмыкия;74;87
"17 лет";Республика Карелия;36;79
"17 лет";Республика Коми;33;50
"17 лет";Республика Крым;1049;1465
"17 лет";Республика Марий Эл;97;74
"17 лет";Республика Мордовия;145;229
"17 лет";Республика Саха (Якутия);58;98
"17 лет";Республика Северная Осетия - Алания;202;299
"17 лет";Республика Татарстан;708;921
"17 лет";Республика Тыва;4;33
"17 лет";Республика Хакасия;30;25
"17 лет";Ростовская область;1246;1513
"17 лет";Рязанская область;188;389
"17 лет";Самарская область;428;514
